证券简称,报告期,归属母公司所有者净利润(元),营业利润(元),证券代码,营业成本(元),营业收入(元),每股经营现金流量(元),净资产收益率,每股净资产(元),每股收益(元),营业利润率,毛利率
赣粤高速,2023-03-31,423144746.54,637301145.92,600269,857444698.17,1555995831.31,0.26,2.459,7.3697,0.181187,40.958,44.89
航天信息,2023-03-31,245693973.22,500149340.62,600271,2519075371.64,3505923338.82,-0.629,1.707,7.766,0.132601,14.266,28.15
开开实业,2023-03-31,9795174.23,15021639.32,600272,148723558.46,199595462.29,-0.102,1.694,2.3802,0.040309,7.526,25.49
嘉化能源,2023-03-31,384640433.85,452161112.97,600273,1790963546.26,2325892999.19,0.054,3.786,7.2472,0.274362,19.44,23.0
恒瑞医药,2023-03-31,1239107494.38,1344430121.81,600276,859517096.88,5492320140.43,0.034,3.186,6.0968,0.194248,24.478,84.35
亿利洁能,2023-03-31,15999173.77,23860624.14,600277,2528300879.32,2699132075.87,0.074,0.094,4.7823,0.004493,0.884,6.33
东方创业,2023-03-31,83241228.48,158072089.4,600278,9326603992.79,9772530190.72,-0.122,1.159,8.1242,0.094167,1.618,4.56
重庆港,2023-03-31,-426984.32,18340146.41,600279,1475471257.75,1572428295.84,0.049,-0.008,4.7919,-0.00036,1.166,6.17
中央商场,2023-03-31,-29099792.28,-5010677.6,600280,278378361.62,637840637.27,0.147,-3.261,0.7908,-0.02579,-0.786,56.36
华阳新材,2023-03-31,-28632442.64,-31993950.29,600281,87339028.45,87069058.77,-0.114,-6.88,0.809,-0.055662,-36.745,-0.31
南钢股份,2023-03-31,376199434.72,491453261.85,600282,16212767381.02,17897431299.15,0.055,1.429,4.2713,0.061021,2.746,9.41
钱江水利,2023-03-31,59896868.83,91580247.69,600283,246600755.04,402802192.04,0.171,2.65,6.404,0.169682,22.736,38.78
浦东建设,2023-03-31,119285103.78,132886888.22,600284,3726347238.11,3941200528.62,-1.972,1.633,7.5286,0.122942,3.372,5.45
羚锐制药,2023-03-31,144246384.9,170629996.52,600285,185065263.91,788648249.06,0.144,5.345,4.7563,0.254197,21.636,76.53
江苏舜天,2023-03-31,14887122.5,29952087.83,600287,862024137.21,988667220.59,-0.271,0.845,3.9962,0.033763,3.03,12.81
大恒科技,2023-03-31,16113147.29,11268899.78,600288,337715360.24,497846008.79,-0.275,0.875,4.2138,0.036889,2.264,32.16
ST信通,2023-03-31,-49278348.93,-49602538.42,600289,14617100.43,48153627.11,-0.116,-3.553,2.1979,-0.078089,-103.009,69.64
*ST华仪,2023-03-31,-59327589.35,-59718090.45,600290,30214431.17,46591270.7,-0.056,,-0.269,-0.078073,-128.174,35.15
远达环保,2023-03-31,29892734.07,48226779.25,600292,661802954.11,804664290.08,-0.02,0.586,6.537,0.038284,5.993,17.75
三峡新材,2023-03-31,-80234200.88,-87531433.12,600293,460720311.02,407329402.06,-0.072,-5.028,1.3754,-0.069159,-21.489,-13.11
鄂尔多斯,2023-03-31,1008394716.01,1533494277.22,600295,5745728899.66,7529356036.09,0.389,4.706,10.7176,0.504418,20.367,23.69
广汇汽车,2023-03-31,529981574.14,771132339.76,600297,28118802889.97,31398575860.18,-0.274,1.343,4.7603,0.065339,2.456,10.45
安琪酵母,2023-03-31,352412349.97,420092417.46,600298,2533752422.26,3396542504.36,0.145,3.658,11.0874,0.405552,12.368,25.4
安迪苏,2023-03-31,1487743.0,19131658.0,600299,2485103765.0,3151977858.0,0.196,0.01,5.5919,0.000555,0.607,21.16
维维股份,2023-03-31,36043577.16,51044678.93,600300,922163203.82,1099587658.6,0.022,1.166,1.9116,0.022288,4.642,16.14
南化股份,2023-03-31,75389044.75,162514783.81,600301,340731882.3,596230114.42,0.085,3.752,3.3921,0.127265,27.257,42.85
标准股份,2023-03-31,-4996489.97,-5401497.97,600302,120158212.25,151700856.39,-0.08,-0.502,2.8796,-0.01444,-3.561,20.79
ST曙光,2023-03-31,-71701390.12,-75876302.41,600303,287271901.15,299400948.27,0.008,-3.447,3.0789,-0.106129,-25.343,4.05
恒顺醋业,2023-03-31,72871854.8,85886518.42,600305,397896199.39,612922538.33,0.055,3.213,2.2613,0.072657,14.013,35.08
*ST商城,2023-03-31,-22333525.87,-22349628.19,600306,6177266.69,20108220.48,-0.01,,-0.9524,-0.096442,-111.147,69.28
酒钢宏兴,2023-03-31,30738650.9,51219141.96,600307,9474548083.73,10423327500.86,-0.068,0.273,1.7951,0.004908,0.491,9.1
华泰股份,2023-03-31,106747570.92,153771258.69,600308,3110810457.75,3531921358.36,0.18,1.167,8.446,0.098523,4.354,11.92
万华化学,2023-03-31,4053161512.31,5000467008.56,600309,34587260462.29,41939325956.05,1.327,5.008,25.7782,1.29092,11.923,17.53
桂东电力,2023-03-31,33408840.44,84951431.02,600310,5752425594.35,5928790478.64,-0.271,1.073,2.1253,0.022794,1.433,2.97
平高电气,2023-03-31,150526232.46,214896853.27,600312,1549885810.32,1956327532.53,0.028,1.588,6.9868,0.110932,10.985,20.78
农发种业,2023-03-31,39106521.34,67284193.62,600313,1084383332.45,1216816251.24,0.109,2.202,1.6414,0.036136,5.53,10.88
上海家化,2023-03-31,230444636.94,253226196.1,600315,768117918.16,1979746030.61,0.672,3.078,11.0287,0.339452,12.791,61.2
洪都航空,2023-03-31,-9070047.02,-13030360.58,600316,132732781.27,137107858.08,-0.597,-0.172,7.376,-0.012648,-9.504,3.19
新力金融,2023-03-31,10414665.23,48845507.09,600318,15680927.19,79456767.8,0.025,1.019,1.9933,0.020312,61.474,80.26
亚星化学,2023-03-31,-18674308.94,-18682157.98,600319,197647107.55,204381878.99,-0.064,-3.017,1.5968,-0.048166,-9.141,3.3
振华重工,2023-03-31,129537269.0,192188431.0,600320,5157818122.0,6019689227.0,-0.175,0.848,2.8063,0.024588,3.193,14.32
正源股份,2023-03-31,15216056.13,15194214.04,600321,301076990.65,344260636.38,0.056,0.949,1.0619,0.010073,4.414,12.54
天房发展,2023-03-31,-140510856.16,-91357969.65,600322,1528662886.27,1716624897.57,0.207,-262.006,0.0485,-0.127079,-5.322,10.95
瀚蓝环境,2023-03-31,310134498.68,396935336.96,600323,2097065417.96,2802039482.45,-0.235,2.773,13.7154,0.380371,14.166,25.16
华发股份,2023-03-31,539673774.77,1120639871.64,600325,9910826554.66,11958336526.39,5.182,2.844,8.3438,0.254904,9.371,17.12
西藏天路,2023-03-31,-84550262.91,-112280801.25,600326,506460769.43,531887840.98,-0.001,-2.223,4.0276,-0.091814,-21.11,4.78
大东方,2023-03-31,25748899.42,37957337.26,600327,733519414.47,909421991.74,0.228,0.795,3.6586,0.029102,4.174,19.34
中盐化工,2023-03-31,507207166.2,966563315.16,600328,3378088541.22,4723402742.81,0.207,4.328,10.3456,0.447755,20.463,28.48
达仁堂,2023-03-31,400788396.53,454595195.65,600329,1103492293.88,2154405776.85,0.242,5.804,8.9279,0.518187,21.101,48.78
天通股份,2023-03-31,86860257.09,98497315.74,600330,701249604.16,907172069.63,0.023,1.09,6.4599,0.070421,10.858,22.7
宏达股份,2023-03-31,9045139.61,17747936.18,600331,746217148.58,837128049.28,-0.037,2.135,0.2085,0.004451,2.12,10.86
白云山,2023-03-31,1908600460.68,2352759108.41,600332,16593366201.91,21628521022.04,-1.746,5.619,20.8931,1.173952,10.878,23.28
长春燃气,2023-03-31,-54582126.23,-70487192.22,600333,599916447.89,657409237.42,-0.16,-2.779,3.2246,-0.089621,-10.722,8.75
