date,code,high,low,close,code_name
2022-10-26,sh.600389,44.19,43.2,43.58,江山股份
2022-10-26,sh.600519,1514.99,1460.0,1464.08,贵州茅台
2022-10-26,sh.601012,50.3,48.29,49.93,隆基绿能
2022-10-26,sh.688598,246.98,235.58,243.5,金博股份
2022-10-26,sz.002594,264.04,255.29,257.87,比亚迪
2022-10-26,sz.300316,77.85,71.11,76.81,晶盛机电
2022-10-27,sh.600036,28.44,27.9,27.94,招商银行
2022-10-27,sh.600389,44.17,43.26,43.27,江山股份
2022-10-27,sh.600519,1487.98,1383.85,1401.0,贵州茅台
2022-10-27,sh.601012,52.18,50.35,50.35,隆基绿能
2022-10-27,sh.688598,252.03,235.8,235.8,金博股份
2022-10-27,sz.002594,260.72,255.0,255.0,比亚迪
2022-10-27,sz.300316,79.98,76.38,76.46,晶盛机电
2022-10-28,sh.600036,28.0,26.99,27.18,招商银行
2022-10-28,sh.600389,43.49,41.0,41.5,江山股份
2022-10-28,sh.600519,1406.0,1358.71,1360.0,贵州茅台
2022-10-28,sh.601012,50.87,48.9,49.25,隆基绿能
2022-10-28,sh.688598,237.96,228.76,230.18,金博股份
2022-10-28,sz.002594,253.0,235.81,239.89,比亚迪
2022-10-28,sz.300316,77.32,73.79,74.3,晶盛机电
2022-10-31,sh.600036,27.13,26.3,26.82,招商银行
2022-10-31,sh.600389,42.05,40.5,40.82,江山股份
2022-10-31,sh.600519,1382.01,1333.0,1350.0,贵州茅台
2022-10-31,sh.601012,49.55,47.62,47.98,隆基绿能
2022-10-31,sh.688598,250.0,214.38,247.0,金博股份
2022-10-31,sz.002594,251.0,237.11,246.67,比亚迪
2022-10-31,sz.300316,75.25,69.9,71.26,晶盛机电
2022-11-01,sh.600036,28.25,27.01,28.19,招商银行
2022-11-01,sh.600389,42.07,40.99,41.88,江山股份
2022-11-01,sh.600519,1469.4,1359.0,1462.01,贵州茅台
2022-11-01,sh.601012,51.1,48.48,51.05,隆基绿能
2022-11-01,sh.688598,256.68,241.99,245.35,金博股份
