code,pubdate,statdate,updatedate,resstotalasset,ressnetasset,ressepschgpct,ressroewa,ressepsdiluted,ressgryoy,ressopyoy
sz.000036,2017-04-15,2016-12-31,2017-04-15,9622080000.0,3288450000.0,1.03865,47.02,1.1,4.22853,13.8341
sz.000036,2018-04-14,2017-12-31,2018-04-14,8722410000.0,4411550000.0,0.005032,34.78,1.19,0.828829,-0.094598
sz.000036,2019-03-20,2018-12-31,2019-03-20,11115800000.0,4857440000.0,-0.252336,20.38,0.88,-0.156206,-0.110934
sz.000036,2019-08-14,2019-06-30,2019-08-14,10857100000.0,4595710000.0,-0.057057,9.22,0.314,0.17623,0.252427
sz.000036,2021-04-14,2020-12-31,2021-04-14,10844100000.0,4906610000.0,-0.328494,10.57,0.37,-0.146297,-0.178931
sz.000036,2022-04-15,2021-12-31,2022-04-15,9586090000.0,4970390000.0,-0.27027,8.18,0.27,-0.304295,-0.291068
sz.000037,2015-04-15,2014-12-31,2015-04-15,5056420000.0,1270540000.0,-0.636424,-22.97,-0.55,0.111375,-0.15497
sz.000037,2019-03-06,2018-12-31,2019-03-06,3307150000.0,1977870000.0,0.230769,0.98,0.032,-0.078616,-2.06496
sz.000038,2015-04-15,2014-12-31,2015-04-15,684019000.0,102450000.0,-0.610096,-43.36,-0.59,0.265726,-5.71979
sz.000038,2016-04-15,2015-12-31,2016-04-15,744778000.0,115766000.0,0.574369,5.26,0.06,0.432648,1.39139
sz.000038,2019-04-15,2018-12-31,2019-04-15,3245180000.0,2832340000.0,-7.56623,-57.4,-4.4959,0.715785,-6.18431
sz.000040,2016-02-06,2015-12-31,2016-02-06,6768610000.0,1325500000.0,0.018275,4.76,0.13,5.76324,0.221997
sz.000040,2018-04-14,2017-12-31,2018-04-14,28898900000.0,11481400000.0,0.272303,4.81,0.4035,1.15712,1.54535
sz.000040,2019-04-15,2018-12-31,2019-04-15,34221900000.0,14470400000.0,0.96561,8.94,0.8059,0.06706,1.40059
sz.000040,2020-04-15,2019-12-31,2020-04-15,30994500000.0,13431100000.0,-1.77229,-6.78,-0.641,-0.213786,-1.62133
sz.000040,2021-04-15,2020-12-31,2021-04-15,26265800000.0,12228500000.0,-0.023613,-6.78,-0.6285,-0.489928,-0.1096
sz.000042,2016-07-30,2016-06-30,2016-07-30,29250200000.0,5529430000.0,-0.582896,0.55,0.0467,61.7788,-0.736678
sz.000042,2018-04-14,2017-12-31,2018-04-14,43811600000.0,6422490000.0,0.549867,10.17,0.9417,0.067879,0.974877
sz.000042,2020-04-15,2019-12-31,2020-04-15,45238400000.0,7628350000.0,0.770353,9.85,1.1895,-0.091718,0.422113
sz.000045,2015-01-09,2014-12-31,2015-01-09,2794740000.0,2210680000.0,-0.28485,-4.31,-0.19,0.07202,-1.96135
sz.000045,2016-01-08,2015-12-31,2016-01-08,2895390000.0,2173260000.0,0.238531,0.33,0.014,0.012008,1.21747
sz.000045,2017-01-10,2016-12-31,2017-01-10,4114800000.0,2343400000.0,-0.185337,-3.78,-0.17,-0.023486,-5.74028
sz.000045,2018-01-10,2017-12-31,2018-01-10,4221250000.0,2389410000.0,0.271323,2.18,0.1,0.212289,1.86763
sz.000045,2019-04-13,2018-12-31,2019-04-13,4619200000.0,2373330000.0,-1.4,-0.96,-0.04,-0.137704,-1.63213
sz.000046,2017-04-15,2016-12-31,2017-04-15,167836000000.0,18324800000.0,0.16465,18.17,0.6045,162.581,0.005997
sz.000046,2018-04-11,2017-12-31,2018-04-11,187775000000.0,20069500000.0,-0.041913,15.14,0.5564,-0.315931,0.042261
sz.000046,2019-04-15,2018-12-31,2019-04-15,212097000000.0,20117600000.0,-0.678109,4.64,0.1791,-0.265002,-0.944635
sz.000046,2020-04-15,2019-12-31,2020-04-15,177872000000.0,21473400000.0,0.176438,5.28,0.2107,0.007889,10.7993
sz.000046,2021-04-15,2020-12-31,2021-04-15,180991000000.0,16606600000.0,-5.22069,-24.1,-0.8893,0.121741,-2.7549
sz.000048,2017-04-15,2016-12-31,2017-04-15,1966580000.0,730662000.0,-0.50631,0.85,0.0157,0.964742,-1.04109
sz.000048,2018-04-14,2017-12-31,2018-04-14,3796670000.0,1019300000.0,0.717788,32.74,0.733,0.885226,22.6049
sz.000048,2019-04-12,2018-12-31,2019-04-12,5182500000.0,1015260000.0,-3.81231,54.95,1.1193,1.21793,5.31619
sz.000048,2020-04-28,2019-12-31,2020-04-28,6471990000.0,2134850000.0,1.44349,70.35,2.735,0.431134,1.44709
sz.000048,2020-08-24,2020-06-30,2020-08-24,7399590000.0,2021010000.0,-0.07744,6.65,0.3431,-0.288186,-0.072356
sz.000048,2023-03-13,2022-12-31,2023-03-13,17536000000.0,2622830000.0,0.98562,31.35,1.4775,0.861153,0.572186
sz.000049,2018-07-25,2018-06-30,2018-07-25,6472630000.0,1484660000.0,0.092007,9.17,0.6498,0.351708,0.104071
sz.000049,2019-07-24,2019-06-30,2019-07-24,7298240000.0,1859360000.0,0.276854,9.32,0.8297,0.160871,0.330408
sz.000049,2023-04-21,2022-12-31,2023-04-21,12514600000.0,4088240000.0,0.092533,23.3,2.8868,0.117009,0.035932
sz.000055,2016-04-13,2015-12-31,2016-04-13,4467460000.0,1318830000.0,0.012688,8.37,0.14,86.4553,-0.092803
sz.000056,2016-04-15,2015-12-31,2016-04-15,7995710000.0,4999710000.0,1.01285,1.05,0.09,3853.71,1.0448
sz.000056,2017-04-15,2016-12-31,2017-04-15,10643700000.0,5128530000.0,0.068262,2.3,0.1,0.461196,3.45431
sz.000056,2018-04-14,2017-12-31,2018-04-14,14171400000.0,5300080000.0,0.055859,3.4,0.15,1.15527,1.81904
sz.000056,2020-04-15,2019-12-31,2020-04-15,12464300000.0,5411210000.0,-0.5,0.94,0.04,-0.001912,-0.101667
sz.000058,2018-04-18,2017-12-31,2018-04-18,6992590000.0,1917230000.0,-0.021454,11.96,0.18,0.39112,0.371954
sz.000058,2018-07-26,2018-06-30,2018-07-26,6311890000.0,1937700000.0,0.038569,5.01,0.079,0.422875,1.08311
sz.000058,2020-04-15,2019-12-31,2020-04-15,6160290000.0,1888090000.0,1.55111,3.78,0.0574,-0.073054,-0.277224
sz.000058,2020-07-11,2020-06-30,2020-07-11,5929470000.0,1955940000.0,-0.311573,2.97,0.0464,0.014894,-0.169104
sz.000058,2021-04-15,2020-12-31,2021-04-15,5817120000.0,1902710000.0,-0.708661,1.21,0.0185,-0.059979,-0.64003
sz.000059,2017-04-13,2016-12-31,2017-04-13,31370600000.0,10666400000.0,0.92192,19.11,1.127,0.270776,6.35764
sz.000059,2019-04-13,2018-12-31,2019-04-13,32460700000.0,13174500000.0,-0.426087,8.32,0.66,0.08808,-0.468474
sz.000061,2015-04-15,2014-12-31,2015-04-15,13805200000.0,4889570000.0,-0.015858,1.72,0.0497,-0.244764,-0.592425
sz.000061,2016-04-15,2015-12-31,2016-04-15,16131500000.0,4811190000.0,-0.037609,0.42,0.0121,0.053635,-0.943424
sz.000061,2019-04-13,2018-12-31,2019-04-13,18999700000.0,4927570000.0,2.07317,0.87,0.0252,-0.058957,0.378352
sz.000063,2015-01-20,2014-12-31,2015-01-20,105923000000.0,24852700000.0,0.371933,11.12,0.77,0.17825,1.07016
sz.000063,2015-07-22,2015-06-30,2015-07-22,113538000000.0,26693700000.0,0.141011,6.26,0.47,0.319205,1.31552
sz.000063,2016-01-20,2015-12-31,2016-01-20,122325000000.0,30720200000.0,0.275851,14.16,0.92,0.24104,16.3108
sz.000063,2017-03-08,2016-12-31,2017-03-08,141641000000.0,26401200000.0,-1.32994,-8.4,-0.57,0.004045,2.63698
sz.000063,2017-07-20,2017-06-30,2017-07-20,139812000000.0,28844000000.0,0.125839,8.3,0.55,0.184331,5.64827
sz.000063,2017-10-19,2017-09-30,2017-10-19,146028000000.0,30865800000.0,0.249427,13.64,0.93,0.143253,4.55114
