证券简称,报告期,归属母公司所有者净利润(元),营业利润(元),证券代码,营业成本(元),营业收入(元),每股经营现金流量(元),净资产收益率,每股净资产(元),每股收益(元),营业利润率,毛利率
飞亚达,2023-03-31,103189489.23,132512634.21,000026,767722882.96,1200095568.76,0.192,3.172,7.7887,0.247085,11.042,36.03
深圳能源,2023-03-31,634034448.15,961414415.66,000027,6300217376.52,8092758140.94,0.391,1.352,6.0742,0.133274,11.88,22.15
国药一致,2023-03-31,362205346.22,576353112.1,000028,16553515799.36,18686817786.5,0.491,2.197,38.5122,0.846023,3.084,11.42
深深房Ａ,2023-03-31,-35653798.52,-40357864.78,000029,101079794.15,109155515.74,-0.181,-0.898,3.9247,-0.035243,-36.973,7.4
富奥股份,2023-03-31,81870997.61,63759097.48,000030,2570905808.01,2803266645.3,-0.356,1.083,4.3406,0.047008,2.274,8.29
大悦城,2023-03-31,171381768.89,862535915.48,000031,4242399897.2,6085492212.23,0.641,1.093,3.6574,0.039983,14.174,30.29
深桑达Ａ,2023-03-31,-56570897.29,228302721.43,000032,11591813416.52,12926328439.38,-1.949,-0.914,5.4389,-0.049713,1.766,10.32
神州数码,2023-03-31,209104951.63,266997695.52,000034,26119435985.37,27116531769.73,0.122,2.671,11.7049,0.312632,0.985,3.68
中国天楹,2023-03-31,45912935.99,66236344.6,000035,852698480.96,1116645023.42,-0.071,0.443,4.1076,0.018192,5.932,23.64
华联控股,2023-03-31,29710062.69,50070630.93,000036,86231907.22,169313505.63,-0.219,0.557,3.5951,0.020021,29.573,49.07
深南电A,2023-03-31,-31147959.3,-37827197.68,000037,126842855.91,111067616.64,-0.061,-2.186,2.3636,-0.051675,-34.058,-14.2
中集集团,2023-03-31,160177000.0,825547000.0,000039,23003586000.0,26649907000.0,0.107,0.328,8.6814,0.029704,3.098,13.68
东旭蓝天,2023-03-31,16221272.4,26754414.67,000040,480315474.5,583622511.78,-0.029,0.144,7.5879,0.01091,4.584,17.7
中洲控股,2023-03-31,60892455.65,148236464.79,000042,1687954269.76,2490227317.81,0.638,0.794,11.531,0.091591,5.953,32.22
深纺织Ａ,2023-03-31,13108613.21,23470750.92,000045,601794163.62,679306013.14,0.004,0.458,5.6513,0.02588,3.455,11.41
泛海控股,2023-03-31,-1307800923.63,-1056225063.53,000046,155478438.54,324481581.72,-0.019,,-1.2624,-0.251684,-325.512,52.08
京基智农,2023-03-31,1219766615.49,1687480648.76,000048,3476818239.99,6663134945.61,-0.725,31.738,7.3452,2.331183,25.326,47.82
德赛电池,2023-03-31,73554204.39,84925681.57,000049,3916171574.1,4288354313.24,3.598,1.768,13.8968,0.245683,1.98,8.68
深天马Ａ,2023-03-31,-662267476.32,-707161563.11,000050,7249671492.71,7708229972.16,0.187,-2.255,11.9517,-0.269461,-9.174,5.95
方大集团,2023-03-31,70822028.03,82475662.8,000055,619537779.13,815219822.9,-0.134,1.228,5.3705,0.06595,10.117,24.0
皇庭国际,2023-03-31,-101828223.54,-99513791.8,000056,82665588.65,195608889.46,0.034,-5.097,1.651,-0.084149,-50.874,57.74
深 赛 格,2023-03-31,32905373.52,62465208.63,000058,338171858.58,445269320.85,-0.015,1.677,1.5942,0.026726,14.029,24.05
华锦股份,2023-03-31,-497826594.5,-443815073.47,000059,8832402953.29,9974560712.16,-2.582,-3.572,8.7141,-0.31125,-4.449,11.45
中金岭南,2023-03-31,320122367.95,464481935.96,000060,16030084037.08,16783042624.45,0.009,2.148,3.8522,0.08565,2.768,4.49
农 产 品,2023-03-31,87142527.36,163123751.46,000061,919007619.95,1240256323.88,0.064,1.495,3.4352,0.051352,13.152,25.9
深圳华强,2023-03-31,125305274.17,190531938.59,000062,3408107219.37,3854160484.26,1.163,1.764,6.7901,0.119805,4.944,11.57
中兴通讯,2023-03-31,2642269000.0,3112584000.0,000063,16175839000.0,29142882000.0,0.491,4.32,12.9136,0.557842,10.68,44.49
北方国际,2023-03-31,193932616.87,266968393.7,000065,4176760084.18,4792486384.26,0.701,2.467,7.7119,0.193594,5.571,12.85
中国长城,2023-03-31,-305225491.02,-280091091.5,000066,1733797358.62,2198572939.49,-0.091,-2.282,4.1456,-0.09462,-12.74,21.14
华控赛格,2023-03-31,-26919587.25,-26232384.83,000068,95810746.93,105671217.89,0.013,-144.288,0.0185,-0.026741,-24.825,9.33
华侨城Ａ,2023-03-31,-302667804.61,70937053.88,000069,5522784650.18,6916525640.79,-0.973,-0.441,7.9916,-0.036903,1.026,20.15
特发信息,2023-03-31,-10358798.11,5866661.09,000070,852140176.54,972291828.07,-0.259,-0.58,2.0292,-0.012265,0.603,12.36
海王生物,2023-03-31,74530706.41,166700577.93,000078,8893421597.94,9957850383.56,0.04,1.567,1.7289,0.027094,1.674,10.69
盐 田 港,2023-03-31,106255332.35,126351299.28,000088,123134184.57,192845085.76,0.027,1.108,4.2639,0.047242,65.52,36.15
深圳机场,2023-03-31,-107877085.26,-135124974.53,000089,898583993.34,906750286.9,0.087,-1.02,5.1567,-0.052603,-14.902,0.9
天健集团,2023-03-31,215286049.37,290982346.59,000090,2617461857.41,3228740728.41,0.517,1.537,5.7834,0.115216,9.012,18.93
广聚能源,2023-03-31,10043963.09,16985807.9,000096,474783528.98,514445369.94,-0.148,0.388,4.9021,0.019023,3.302,7.71
中信海直,2023-03-31,68654095.99,88540357.49,000099,343322945.26,404919016.51,0.267,1.376,6.4301,0.088498,21.866,15.21
TCL科技,2023-03-31,-548999154.0,43620966.0,000100,35357669407.0,39443242439.0,0.263,-1.105,2.9091,-0.032158,0.111,10.36
*ST宜康,2023-03-31,-78034861.33,-65181655.44,000150,169784009.04,208337905.44,-0.011,,-0.9775,-0.088909,-31.287,18.51
中成股份,2023-03-31,-33579516.53,-33706556.78,000151,1117641652.74,1180654178.64,0.305,-5.008,1.9876,-0.099533,-2.855,5.34
丰原药业,2023-03-31,46024429.74,65777326.09,000153,866359318.28,1206114496.19,0.06,2.582,5.3681,0.138581,5.454,28.17
川能动力,2023-03-31,276316699.85,533408724.44,000155,287786086.45,930123619.13,0.028,4.895,3.8244,0.187216,57.348,69.06
